domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,knn_bucket,used_component_bridging,h1_observed_geodesic,distortion_observed,null_family,n_null_draws,rewire_attempts_total,mean_edge_hist_l1_ratio,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_z_observed_minus_null,h1_p_perm_upper,distortion_null_mean,distortion_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed43,source_disjoint,6,2470,150,14,40,k_gt_30,True,20.8720965385437,1.2790498004530126,quantile_constrained_geodesic_rewire,5,5,0.312925877763329,32.1516215801239,1.7162304635303405,-11.2795250415802,-6.5722671137101205,1.0,1.0767679108019965,0.0018429758731724898,0.20228188965101612,109.7582354914792,1.0
immune,seed44,source_disjoint,6,2470,150,14,40,k_gt_30,True,14.684280395507812,1.274822630349206,quantile_constrained_geodesic_rewire,5,5,0.31396419437340156,26.459285974502563,3.776000727938764,-11.775005578994751,-3.1183801127877664,1.0,1.0737655492023517,0.0007356227478966384,0.2010570811468544,273.315103980445,1.0
immune,seed42_main,source_disjoint,7,2470,150,14,40,k_gt_30,True,17.414907693862915,1.3248725319793142,degree_preserving_geodesic_rewire,5,5,0.32551585304479114,31.344108819961548,4.657071839019047,-13.929201126098633,-2.9909783667931698,1.0,1.1112870433759405,0.0008885650223194842,0.21358548860337367,240.3709834029406,1.0
immune,seed43,source_disjoint,7,2470,150,14,40,k_gt_30,True,16.53296685218811,1.3161082709165552,degree_preserving_geodesic_rewire,5,5,0.32427039161885757,25.78875050544739,2.1528610213171997,-9.255783653259279,-4.299294546796594,1.0,1.0541498751416762,0.0006185534782635548,0.261958395774879,423.500928342262,1.0
immune,seed44,source_disjoint,7,2470,150,14,40,k_gt_30,True,19.299501419067383,1.2841203939095833,degree_preserving_geodesic_rewire,5,5,0.3264240903387704,32.869443321228026,3.1597239253798346,-13.569941902160643,-4.294660615400037,1.0,1.101430167260887,0.0008165616662209049,0.18269022664869627,223.7308099012122,1.0
immune,seed42_main,source_disjoint,7,2470,150,14,40,k_gt_30,True,17.414907693862915,1.3248725319793142,quantile_constrained_geodesic_rewire,5,5,0.3116255661801711,28.75163769721985,3.4824063024368552,-11.336730003356934,-3.2554300146334136,1.0,1.1087356855578785,0.0011879348360215624,0.2161368464214357,181.94319917587922,1.0
immune,seed43,source_disjoint,7,2470,150,14,40,k_gt_30,True,16.53296685218811,1.3161082709165552,quantile_constrained_geodesic_rewire,5,5,0.3107009229234223,26.68768367767334,4.073328484372297,-10.154716825485231,-2.492977637809415,1.0,1.0529785095079054,0.001385152566750741,0.26312976140864985,189.96432433545485,1.0
immune,seed44,source_disjoint,7,2470,150,14,40,k_gt_30,True,19.299501419067383,1.2841203939095833,quantile_constrained_geodesic_rewire,5,5,0.31588456712672525,32.79949460029602,1.8167154371635137,-13.49999318122864,-7.4309894095883005,1.0,1.10018429932121,0.0019124565324635482,0.18393609458837323,96.17787138595146,1.0
immune,seed42_main,source_disjoint,8,2470,150,14,40,k_gt_30,True,18.728093147277832,1.3330289854105593,degree_preserving_geodesic_rewire,5,5,0.3305322128851541,28.332381820678712,2.838239394572942,-9.60428867340088,-3.3838895649118097,1.0,1.0664910962470748,0.0018785795965331482,0.2665378891634844,141.88259457984947,1.0
immune,seed43,source_disjoint,8,2470,150,14,40,k_gt_30,True,14.839915752410889,1.2555456673444274,degree_preserving_geodesic_rewire,5,5,0.3200411628505274,24.559387350082396,4.072209164699012,-9.719471597671507,-2.386781032649417,1.0,1.0644720766077564,0.0005884648905618683,0.19107359073667096,324.69781817640023,1.0
