domain,seed_tag,split_regime,layer,knn_k,knn_bucket,used_component_bridging,distortion_delta_observed_minus_null_degree_preserving_geodesic_rewire,distortion_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_observed_minus_null_degree_preserving_geodesic_rewire,h1_delta_observed_minus_null_quantile_constrained_geodesic_rewire,h1_delta_shift_constrained_minus_unconstrained,distortion_delta_shift_constrained_minus_unconstrained
immune,seed44,source_disjoint,6,40,k_gt_30,True,0.1996223141537974,0.2010570811468544,-13.384176445007324,-11.775005578994751,1.6091708660125725,0.0014347669930570017
immune,seed44,source_disjoint,7,40,k_gt_30,True,0.18269022664869627,0.18393609458837323,-13.569941902160643,-13.49999318122864,0.069948720932004,0.001245867939676959
immune,seed44,source_disjoint,8,40,k_gt_30,True,0.16477508780082695,0.16606123515423876,-14.655567836761474,-12.786712551116942,1.868855285644532,0.001286147353411815
immune,seed44,source_disjoint,9,40,k_gt_30,True,0.14314277518181107,0.1450442418058877,-12.542576932907103,-9.893333864212035,2.6492430686950676,0.001901466624076642
immune,seed44,source_disjoint,10,40,k_gt_30,True,0.0642962954415418,0.06624668785314869,-8.790487861633302,-8.78861060142517,0.001877260208132725,0.0019503924116068827
immune,seed44,source_disjoint,11,40,k_gt_30,True,0.13961680135130528,0.13990861617275097,-7.386436295509338,-6.848820877075195,0.5376154184341431,0.0002918148214456906
immune,seed44,target_disjoint,0,15,k_le_20,False,0.716723376324089,0.715955528289876,-26.218754291534424,-33.49220027923584,-7.273445987701415,-0.0007678480342130367
immune,seed44,target_disjoint,1,28,k_21_30,False,0.4504057637942884,0.44790467705807413,-37.02554798126221,-53.55595035552979,-16.53040237426758,-0.0025010867362142974
immune,seed44,target_disjoint,2,26,k_21_30,False,-0.04875838180779968,-0.056078891827663124,-56.57906827926636,-72.29598255157471,-15.716914272308351,-0.0073205100198634465
immune,seed44,target_disjoint,3,28,k_21_30,False,-0.03218233028293671,-0.03263153561113885,-19.938872146606446,-20.279561710357665,-0.3406895637512193,-0.0004492053282021402
immune,seed44,target_disjoint,4,18,k_le_20,False,-0.05212424512374536,-0.06031838809913248,-60.57946929931641,-74.6199872970581,-14.040517997741695,-0.00819414297538712
immune,seed44,target_disjoint,5,33,k_gt_30,False,-0.037188791035484,-0.038821964181729784,-17.970026397705077,-25.61168270111084,-7.641656303405764,-0.001633173146245781
immune,seed44,target_disjoint,6,23,k_21_30,False,0.7327320086342262,0.7346457177813248,-33.978951930999756,-27.53285436630249,6.446097564697265,0.0019137091470986523
immune,seed44,target_disjoint,7,32,k_gt_30,False,-0.04001131924178791,-0.04016547005210058,-36.155943775177,-37.18718376159668,-1.0312399864196777,-0.00015415081031266986
immune,seed44,target_disjoint,8,38,k_gt_30,False,-0.04026398288941735,-0.03808882534872171,-24.074619197845458,-24.63070297241211,-0.5560837745666518,0.002175157540695638
immune,seed44,target_disjoint,9,29,k_21_30,False,-0.019175282944974503,-0.019197339669227986,-22.358491276727044,-25.514312314019527,-3.1558210372924833,-2.205672425348304e-05
immune,seed44,target_disjoint,10,26,k_21_30,False,-0.04096343557814219,-0.043952062794670455,-25.797228813171387,-29.095043468475343,-3.297814655303956,-0.0029886272165282612
immune,seed44,target_disjoint,11,18,k_le_20,False,-0.11975879964085512,-0.09521168152627535,-27.645105934143068,-25.170332813262938,2.47477312088013,0.02454711811457977
