null_kind,domain,split_regime,layer,perm_idx,null_delta_spearman
signature_basis_destroy,external_lung,source_disjoint,11,8,-2.0282501904918607e-06
signature_basis_destroy,external_lung,source_disjoint,11,9,-7.90501413230893e-07
signature_basis_destroy,external_lung,source_disjoint,11,10,-1.325211712233619e-06
signature_basis_destroy,external_lung,source_disjoint,11,11,-1.0168989092555758e-06
signature_basis_destroy,external_lung,source_disjoint,11,12,-1.2231277701640897e-06
signature_basis_destroy,external_lung,source_disjoint,11,13,-1.1647514206692897e-06
signature_basis_destroy,external_lung,source_disjoint,11,14,-5.914230594749117e-07
signature_basis_destroy,external_lung,source_disjoint,11,15,1.5033351254047783e-07
signature_basis_destroy,external_lung,source_disjoint,11,16,-8.796036414645755e-07
signature_basis_destroy,external_lung,source_disjoint,11,17,-1.11377201916351e-06
signature_basis_destroy,external_lung,source_disjoint,11,18,-1.4956576068828054e-06
signature_basis_destroy,external_lung,source_disjoint,11,19,-6.066963092578662e-07
signature_basis_destroy,external_lung,source_disjoint,11,20,-1.6930885706235854e-06
signature_basis_destroy,external_lung,source_disjoint,11,21,-1.39823680192757e-06
signature_basis_destroy,external_lung,source_disjoint,11,22,2.6039795285315304e-07
signature_basis_destroy,external_lung,source_disjoint,11,23,-6.365559788220482e-07
signature_basis_destroy,external_lung,target_disjoint,7,0,2.4535006604804385e-07
signature_basis_destroy,external_lung,target_disjoint,7,1,-7.133311913324475e-07
signature_basis_destroy,external_lung,target_disjoint,7,2,-2.8406236153100464e-07
signature_basis_destroy,external_lung,target_disjoint,7,3,-1.1091174158522205e-07
signature_basis_destroy,external_lung,target_disjoint,7,4,3.4740441700069e-07
signature_basis_destroy,external_lung,target_disjoint,7,5,-6.712938212887452e-07
signature_basis_destroy,external_lung,target_disjoint,7,6,2.56370115988766e-07
signature_basis_destroy,external_lung,target_disjoint,7,7,-5.974319586955594e-07
signature_basis_destroy,external_lung,target_disjoint,7,8,-7.910274174615164e-08
signature_basis_destroy,external_lung,target_disjoint,7,9,-2.9007558780122164e-07
signature_basis_destroy,external_lung,target_disjoint,7,10,-8.482489500089528e-07
signature_basis_destroy,external_lung,target_disjoint,7,11,-8.76504590956173e-08
signature_basis_destroy,external_lung,target_disjoint,7,12,-4.944813263049568e-07
signature_basis_destroy,external_lung,target_disjoint,7,13,2.596530882174701e-07
signature_basis_destroy,external_lung,target_disjoint,7,14,-1.4857472510794445e-07
signature_basis_destroy,external_lung,target_disjoint,7,15,-3.7468369755780384e-08
signature_basis_destroy,external_lung,target_disjoint,7,16,-4.81368590959496e-07
signature_basis_destroy,external_lung,target_disjoint,7,17,-8.819454148409171e-07
signature_basis_destroy,external_lung,target_disjoint,7,18,3.158043621540041e-07
signature_basis_destroy,external_lung,target_disjoint,7,19,-6.514136801274301e-07
signature_basis_destroy,external_lung,target_disjoint,7,20,2.3260299437640256e-07
signature_basis_destroy,external_lung,target_disjoint,7,21,-5.197274737453461e-07
signature_basis_destroy,external_lung,target_disjoint,7,22,3.008824880851649e-07
signature_basis_destroy,external_lung,target_disjoint,7,23,5.181272217042246e-08
signature_basis_destroy,external_lung,target_disjoint,11,0,-1.387347464131515e-06
signature_basis_destroy,external_lung,target_disjoint,11,1,-6.604309124675842e-07
signature_basis_destroy,external_lung,target_disjoint,11,2,-7.956103298418365e-07
signature_basis_destroy,external_lung,target_disjoint,11,3,-1.344269867642467e-08
signature_basis_destroy,external_lung,target_disjoint,11,4,-1.0422268545574181e-06
