domain,seed_tag,split_regime,layer,n_edges_total_split,n_edges_in_knn_graph,n_positive_in_knn_graph,graph_nodes,graph_edges,mean_graph_degree,auc_neg_curvature,slope_pos_rate_vs_neg_curvature_bin,delta_top_minus_bottom_pos_rate,p_auc_upper,p_slope_upper,p_delta_upper,null_mean_auc,null_mean_slope,null_mean_delta
lung,seed44,source_disjoint,3,16417,298,93,2592,40178,31.001543209876544,0.3254130605822187,-0.1763809915194082,-0.5256410256410257,1.0,1.0,1.0,0.5010842731007955,0.0019595359958157785,0.005256410256410253
lung,seed42_main,source_disjoint,7,16398,294,98,2592,40093,30.935956790123456,0.4188619325281133,0.04173608228402755,0.16969696969696968,0.9966777408637874,0.15282392026578073,0.11960132890365449,0.5003010898236846,-0.003284836185292773,-0.010464646464646468
lung,seed43,source_disjoint,7,16417,235,86,2593,40515,31.24951793289626,0.39570001560792883,-0.07418219076005964,-0.18818306010928965,1.0,0.9966777408637874,0.9867109634551495,0.4976246032984756,-0.0012118065904950734,-0.0037750455373406133
lung,seed44,source_disjoint,7,16417,288,88,2592,40190,31.010802469135804,0.3391193181818182,-0.12724664224664228,-0.3591269841269842,1.0,1.0,1.0,0.5007472537878789,0.0005741961741962048,0.0015873015873015786
lung,seed42_main,source_disjoint,11,16398,282,86,2592,40225,31.03780864197531,0.4548232083531087,0.013945920464907856,0.0875527426160338,0.9102990033222591,0.4584717607973422,0.34219269102990035,0.503579635342509,0.004577266708912309,0.015365682137834034
lung,seed43,source_disjoint,11,16417,247,73,2593,40799,31.4685692248361,0.36128168792316173,-0.038911478569922574,-0.05376344086021506,1.0,0.6877076411960132,0.6677740863787376,0.5021281425497297,0.002040907402387509,0.006433691756272387
lung,seed44,source_disjoint,11,16417,285,91,2592,40695,31.400462962962962,0.40523394131641555,0.02024380495603516,0.1388888888888889,1.0,0.5149501661129569,0.4717607973421927,0.5003318416978211,0.0005508260058620103,0.0032407407407407367
lung,seed42_main,target_disjoint,0,16385,332,101,1805,27743,30.74016620498615,0.3543140028288542,-0.09552776729498032,-0.3080532656943564,1.0,1.0,1.0,0.5019408369408368,0.0015858127588996606,0.002618473895582332
lung,seed43,target_disjoint,0,16364,331,112,1801,27950,31.038312048861744,0.3460127201565558,-0.15130459444129327,-0.3026091888825865,1.0,1.0,1.0,0.5010359589041097,0.0012143127245226374,0.0024286254490451884
lung,seed44,target_disjoint,0,16359,343,115,1801,27766,30.833981121599113,0.42696414950419526,-0.06118284332146324,-0.21821484172288533,0.9867109634551495,1.0,1.0,0.4991319603356216,-0.0003608464460469605,-0.0018457014357377561
lung,seed42_main,target_disjoint,3,16385,353,106,1805,27857,30.866481994459832,0.3906309678405011,-0.0706302193284928,-0.22444505343929846,1.0,1.0,1.0,0.49892687087821147,-0.0002876687576605035,-0.0010687859687585632
lung,seed43,target_disjoint,3,16364,356,107,1801,28112,31.218212104386453,0.3900649326277071,-0.07972557960861713,-0.24514811031664963,1.0,0.9800664451827242,0.9700996677740864,0.5020477548824581,0.0015294662414295735,0.005015321756894782
lung,seed44,target_disjoint,3,16359,351,126,1801,27755,30.82176568573015,0.46391534391534395,-0.024976289860010745,-0.14886276514183489,0.9102990033222591,0.867109634551495,0.9900332225913622,0.5024628453850676,0.0014839887932911581,0.005526876224550639
lung,seed42_main,target_disjoint,7,16385,386,124,1805,27870,30.8808864265928,0.4090125584831322,-0.03242879475917517,-0.07260726072607265,0.9933554817275747,0.7441860465116279,0.7009966777408638,0.49837529754576054,-0.001726625474577501,-0.004682068206820682
lung,seed43,target_disjoint,7,16364,335,98,1801,28085,31.188228761799,0.36657194523378966,-0.02377596593269625,-0.02528735632183904,1.0,0.5548172757475083,0.46511627906976744,0.49694092827004216,-0.002010327516964375,-0.0063065134099616815
lung,seed44,target_disjoint,7,16359,313,103,1801,27820,30.893947806774015,0.37191400832177535,-0.09750034073872149,-0.2727272727272727,1.0,0.9867109634551495,0.9667774086378738,0.49797010325165664,-0.0016981834840155336,-0.005227272727272734
lung,seed42_main,target_disjoint,11,16385,382,129,1805,28019,31.045983379501386,0.4613935104329442,-0.02759849523855811,-0.09023850504057046,0.8704318936877077,0.8837209302325582,0.8870431893687708,0.4976701289946993,-0.0015914046778825876,-0.00429432013769363
lung,seed43,target_disjoint,11,16364,337,99,1801,28479,31.62576346474181,0.3809523809523809,-0.038669033504874786,-0.09800664451827246,1.0,0.8305647840531561,0.7541528239202658,0.4987624140565317,-0.001326560339898203,-0.004507198228128466
lung,seed44,target_disjoint,11,16359,335,112,1801,28190,31.30483064963909,0.4157591287636131,-0.07301261694924119,-0.2669943820224719,0.9933554817275747,1.0,1.0,0.49902980194319885,-0.00021228223831948367,-0.0016956928838951345
