domain,seed_tag,split_regime,layer,phase,n_edges,n_positive,n_unique_genes,auc_edge_reconstruction,auc_centered,mean_gene_reconstruction_error,std_gene_reconstruction_error
external_lung,seed44,target_disjoint,0,early,15000,3830,1659,0.5416987057368792,0.04169870573687917,0.09399543922850485,0.06832198825838083
external_lung,seed44,target_disjoint,1,early,15000,3830,1659,0.5508519533158334,0.050851953315833365,0.08733778344041884,0.06318094046276035
external_lung,seed44,target_disjoint,2,early,15000,3830,1659,0.5363690391317661,0.036369039131766145,0.08393313062156058,0.062944836109219
external_lung,seed44,target_disjoint,3,early,15000,3830,1659,0.5475508226763688,0.04755082267636879,0.0809018929584616,0.06106280529783259
external_lung,seed44,target_disjoint,4,mid,15000,3830,1659,0.5290482830034758,0.02904828300347584,0.07340531816900271,0.054998819972817165
external_lung,seed44,target_disjoint,5,mid,15000,3830,1659,0.5258728387068121,0.025872838706812118,0.07210711714830294,0.05434775167969473
external_lung,seed44,target_disjoint,6,mid,15000,3830,1659,0.5304611732751144,0.03046117327511444,0.06909177705016574,0.05214523130656179
external_lung,seed44,target_disjoint,7,mid,15000,3830,1659,0.5343009296161155,0.03430092961611553,0.0668107200401027,0.049489052763524784
external_lung,seed44,target_disjoint,8,late,15000,3830,1659,0.5477644216721871,0.047764421672187085,0.06226751184584195,0.04650430239018095
external_lung,seed44,target_disjoint,9,late,15000,3830,1659,0.5378961620902689,0.037896162090268914,0.054890164466541755,0.0420226439046094
external_lung,seed44,target_disjoint,10,late,15000,3830,1659,0.5346736409302238,0.03467364093022385,0.04070566065901935,0.03295462244205794
external_lung,seed44,target_disjoint,11,late,15000,3830,1659,0.5325366692301039,0.0325366692301039,0.031147440966258173,0.02478810318671026
immune,seed42_main,source_disjoint,0,early,1527,364,340,0.5350386930352538,0.035038693035253754,0.14296838562529346,0.10200082746534114
immune,seed42_main,source_disjoint,1,early,1527,364,340,0.5331701832131754,0.03317018321317544,0.13909778203943593,0.1007953523038712
immune,seed42_main,source_disjoint,2,early,1527,364,340,0.519266202413236,0.019266202413235956,0.1323285689821066,0.0996807796928705
immune,seed42_main,source_disjoint,3,early,1527,364,340,0.5459379399620156,0.04593793996201556,0.12595300348223737,0.09127090001872339
