domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,mean_gene_reconstruction_error,std_gene_reconstruction_error,mean_edge_reconstruction_error,mean_edge_absdiff_reconstruction_error,positive_edge_recon_mean,negative_edge_recon_mean,delta_edge_recon_pos_minus_neg,auc_edge_recon_mean,auc_edge_recon_absdiff,p_auc_edge_recon_upper,p_auc_edge_recon_two_sided,p_delta_pos_minus_neg_upper,p_delta_pos_minus_neg_two_sided
immune,seed43,target_disjoint,8,1465,357,227,32,0.1189312216591005,0.10353813612443809,0.1219041532184527,0.11096057016865016,0.11226957434934767,0.12500843539920223,-0.012738861049854555,0.45303067075205533,0.4167627339744562,0.9975062344139651,0.9975062344139651,0.9975062344139651,0.004987531172069825
immune,seed44,target_disjoint,8,1465,357,227,32,0.12220226567867934,0.1119832658856236,0.1222850111343018,0.1108364753071934,0.11898618299256439,0.12334790070704571,-0.004361717714481322,0.4778071878570923,0.41382888895630454,0.9002493765586035,0.9002493765586035,0.8503740648379052,0.3117206982543641
immune,seed42_main,target_disjoint,9,1465,357,227,32,0.11149543693356574,0.09679375803725612,0.11447232767339646,0.09761215175097666,0.10878259995847585,0.11630557026746384,-0.007522970308987992,0.4608626844239501,0.4436666363296221,0.9925187032418953,0.9925187032418953,0.9825436408977556,0.04987531172069826
immune,seed43,target_disjoint,9,1465,357,227,32,0.10070635928041842,0.09286389544395456,0.10209074316377122,0.09698691216385288,0.09101822278320665,0.10565833321418777,-0.014640110430981124,0.44165175095308884,0.41609279090697654,0.9950124688279302,0.9950124688279302,1.0,0.0024937655860349127
immune,seed44,target_disjoint,9,1465,357,227,32,0.1035481785515246,0.09821193211219803,0.10340350329257574,0.09532979750809137,0.09914049963569235,0.10477705230476649,-0.0056365526690741324,0.46983107322351325,0.41786877205755946,0.9576059850374065,0.9576059850374065,0.942643391521197,0.14214463840399003
immune,seed42_main,target_disjoint,10,1465,357,227,32,0.07948624944220267,0.07268720123227407,0.08100699472575455,0.07259860593558748,0.07629694741708613,0.08252458217087606,-0.006227634753789929,0.4578820697954271,0.45767982283165975,0.9900249376558603,0.9900249376558603,0.9875311720698254,0.02493765586034913
immune,seed43,target_disjoint,10,1465,357,227,32,0.06927335995314465,0.06753229518844481,0.06991874083667743,0.06904076908723462,0.061861575614150115,0.07251477692371916,-0.010653201309569045,0.4424784354174883,0.4111857739485686,1.0,1.0,1.0,0.0024937655860349127
immune,seed44,target_disjoint,10,1465,357,227,32,0.0710024016228907,0.06996708802204724,0.07037804345157385,0.06763103892324861,0.0686489252034108,0.07093516909651446,-0.002286243893103654,0.47853274883960806,0.43863195097533597,0.9152119700748129,0.9152119700748129,0.8154613466334164,0.43640897755610975
immune,seed42_main,target_disjoint,11,1465,357,227,32,0.057630874348301254,0.05529816744677991,0.05945905249994139,0.05583755229659834,0.05717808870072778,0.06019398397676383,-0.003015895276036046,0.46635116140318944,0.44863179929011315,0.9675810473815462,0.9675810473815462,0.9077306733167082,0.19451371571072318
immune,seed43,target_disjoint,11,1465,357,227,32,0.04857323232877845,0.04956452495386114,0.04846497809792021,0.048835286201462706,0.04311865104905374,0.050187576253556805,-0.007068925204503064,0.44281719908179873,0.41793576636430746,0.9975062344139651,0.9975062344139651,1.0,0.004987531172069825
immune,seed44,target_disjoint,11,1465,357,227,32,0.05220830790968209,0.056042032040974965,0.051205367939704385,0.05160667361699966,0.04940342237483783,0.05178595870383557,-0.0023825363289977433,0.4745939892202369,0.43035246589610576,0.940149625935162,0.940149625935162,0.8628428927680798,0.30174563591022446
