domain,seed_tag,split_regime,layer,n_genes_pool,n_points,pca_dim,knn_k,used_component_bridging,n_null_draws,rewire_attempts,h1_observed_euclidean,h1_observed_geodesic,h1_rewire_null_mean,h1_rewire_null_std,h1_delta_euclidean_vs_rewire,h1_z_euclidean_vs_rewire,h1_delta_geodesic_vs_rewire,h1_z_geodesic_vs_rewire,h1_delta_shift_geodesic_minus_euclidean,h1_p_perm_euclidean_vs_rewire,h1_p_perm_geodesic_vs_rewire,distortion_observed,distortion_rewire_null_mean,distortion_rewire_null_std,distortion_delta_observed_minus_null,distortion_z_observed_minus_null,distortion_p_lower
immune,seed42_main,source_disjoint,11,2470,160,14,30,True,6,6,5.888924241065979,5.888924241065979,40.630085249741875,8.211710489173866,-34.741161008675896,-4.230685074717036,-34.741161008675896,-4.230685074717036,0.0,1.0,1.0,1.1719772675559559,1.1638254524730687,0.005214769211803684,0.008151815082887204,1.5632165468068926,1.0
immune,seed43,source_disjoint,11,2470,160,14,30,True,6,6,7.062323570251465,7.1848907470703125,58.02926047643026,7.519219669811575,-50.966936906178795,-6.778221562541178,-50.84436972935995,-6.761921044377753,0.12256717681884766,1.0,1.0,1.1904653746857194,1.167164123685734,0.0033712586383512614,0.02330125099998548,6.911734336599812,1.0
immune,seed44,source_disjoint,11,2470,160,14,30,True,6,6,7.827071309089661,7.827071309089661,57.54796097675959,4.4784976485565675,-49.72088966766993,-11.102135930023984,-49.72088966766993,-11.102135930023984,0.0,1.0,1.0,1.2197941108338246,1.1806350804564818,0.005488696522583354,0.03915903037734281,7.1344850424389765,1.0
immune,seed42_main,target_disjoint,0,2471,160,14,13,False,6,6,2.3448426723480225,2.938401937484741,44.25843636194865,16.979854151391482,-41.913593689600624,-2.4684307246359602,-41.320034424463906,-2.4334740483412394,0.5935592651367188,1.0,1.0,2.2222113027027253,1.156124046804952,0.014109069218301915,1.0660872558977732,75.5604188938597,1.0
immune,seed43,target_disjoint,0,2471,160,14,24,False,6,6,1.7829537391662598,1.7829537391662598,137.38218386967978,32.57455400299443,-135.59923013051352,-4.162734817916027,-135.59923013051352,-4.162734817916027,0.0,1.0,1.0,1.8979194270829138,1.1455993609905464,0.013503665175500156,0.7523200660923675,55.71228259902557,1.0
immune,seed44,target_disjoint,0,2471,160,14,13,False,6,6,0.7893409729003906,0.7893409729003906,25.913197199503582,12.534779748783928,-25.12385622660319,-2.004331685767057,-25.12385622660319,-2.004331685767057,0.0,1.0,1.0,2.0851331240315103,1.1210293691466546,0.008286772862751222,0.9641037548848557,116.34247185366921,1.0
immune,seed42_main,target_disjoint,1,2471,160,14,30,True,6,6,2.541996479034424,2.541996479034424,142.38393783569336,31.04244799471505,-139.84194135665894,-4.504861903157961,-139.84194135665894,-4.504861903157961,0.0,1.0,1.0,1.4501989041832901,1.1756284036568019,0.015020063435394358,0.27457050052648824,18.280247844973996,1.0
immune,seed43,target_disjoint,1,2471,160,14,30,True,6,6,3.5169777870178223,3.5169777870178223,93.63646189371745,6.880837883628201,-90.11948410669963,-13.09716717901851,-90.11948410669963,-13.09716717901851,0.0,1.0,1.0,1.4014905196645577,1.2102208888436146,0.025336459556842973,0.19126963082094317,7.549185111780908,1.0
immune,seed44,target_disjoint,1,2471,160,14,24,False,6,6,3.211423873901367,10.111516952514648,1.0487124125162761,0.43500119517554153,2.162711461385091,4.971736814517504,9.062804539998373,20.83397613541537,6.900093078613282,0.14285714285714285,0.14285714285714285,1.5735233476429968,1.163767387404082,0.014270193672419254,0.4097559602389149,28.7141114501312,1.0
immune,seed42_main,target_disjoint,2,2471,160,14,29,False,6,6,0.17296886444091797,0.17297046602113397,11.026171684265137,9.291567219029602,-10.853202819824219,-1.1680702041769915,-10.853201218244003,-1.1680700318077692,1.6015802160040948e-06,1.0,1.0,1.409984278930447,1.5180097742480247,0.0037469243210255577,-0.10802549531757766,-28.830437241810408,0.14285714285714285
