domain,seed_tag,split_regime,layer,perm_idx,null_interaction_coef_mean
external_lung,seed42_main,source_disjoint,11,61,0.03654215589707421
external_lung,seed42_main,source_disjoint,11,62,-0.10142894559368669
external_lung,seed42_main,source_disjoint,11,63,-0.1467592305964949
external_lung,seed42_main,source_disjoint,11,64,0.0433647721570995
external_lung,seed42_main,source_disjoint,11,65,-0.1413082873170823
external_lung,seed42_main,source_disjoint,11,66,0.015094343126972868
external_lung,seed42_main,source_disjoint,11,67,-0.19702709923485148
external_lung,seed42_main,source_disjoint,11,68,-0.2160181050126643
external_lung,seed42_main,source_disjoint,11,69,0.007754260068953263
external_lung,seed42_main,source_disjoint,11,70,-0.04559650195948173
external_lung,seed42_main,source_disjoint,11,71,-0.007905783022053156
external_lung,seed42_main,source_disjoint,11,72,-0.15870468818019448
external_lung,seed42_main,source_disjoint,11,73,-0.17660109864950913
external_lung,seed42_main,source_disjoint,11,74,-0.2239857096314312
external_lung,seed42_main,source_disjoint,11,75,-0.0040529308759109095
external_lung,seed42_main,source_disjoint,11,76,-0.16005673992463051
external_lung,seed42_main,source_disjoint,11,77,-0.13086499376081692
external_lung,seed42_main,source_disjoint,11,78,-0.07840998233770029
external_lung,seed42_main,source_disjoint,11,79,0.01493213167404154
external_lung,seed42_main,target_disjoint,0,0,0.031067535548700186
external_lung,seed42_main,target_disjoint,0,1,-0.20400649828579578
external_lung,seed42_main,target_disjoint,0,2,-0.08146662892285199
external_lung,seed42_main,target_disjoint,0,3,-0.046613265056451615
external_lung,seed42_main,target_disjoint,0,4,-0.026573857310504618
external_lung,seed42_main,target_disjoint,0,5,-0.019209557473918837
external_lung,seed42_main,target_disjoint,0,6,-0.02624436002756202
external_lung,seed42_main,target_disjoint,0,7,0.02674307516522767
external_lung,seed42_main,target_disjoint,0,8,0.00528692283471804
external_lung,seed42_main,target_disjoint,0,9,0.05701594082487752
external_lung,seed42_main,target_disjoint,0,10,-0.061350109341508176
external_lung,seed42_main,target_disjoint,0,11,-0.012111128610935273
external_lung,seed42_main,target_disjoint,0,12,-0.16035621011193976
external_lung,seed42_main,target_disjoint,0,13,-0.1543380657704677
external_lung,seed42_main,target_disjoint,0,14,-0.12207699741118776
external_lung,seed42_main,target_disjoint,0,15,-0.06701857324844533
external_lung,seed42_main,target_disjoint,0,16,0.07879798422443712
external_lung,seed42_main,target_disjoint,0,17,-0.1631949563231104
external_lung,seed42_main,target_disjoint,0,18,-0.2182177708689045
external_lung,seed42_main,target_disjoint,0,19,0.004497609456494411
external_lung,seed42_main,target_disjoint,0,20,0.06691824899491318
external_lung,seed42_main,target_disjoint,0,21,-0.03157142612651339
external_lung,seed42_main,target_disjoint,0,22,-0.10327140130546102
external_lung,seed42_main,target_disjoint,0,23,0.01634559878803754
external_lung,seed42_main,target_disjoint,0,24,0.039565123606562426
external_lung,seed42_main,target_disjoint,0,25,-0.09596174795475491
external_lung,seed42_main,target_disjoint,0,26,-0.04651461110584091
external_lung,seed42_main,target_disjoint,0,27,0.07099260474698421
external_lung,seed42_main,target_disjoint,0,28,-0.08505638738217951
external_lung,seed42_main,target_disjoint,0,29,0.013647677914737893
external_lung,seed42_main,target_disjoint,0,30,-0.008418669805931978
external_lung,seed42_main,target_disjoint,0,31,-0.03254055819597975
external_lung,seed42_main,target_disjoint,0,32,0.0648096490080414
external_lung,seed42_main,target_disjoint,0,33,-0.024576708033604528
external_lung,seed42_main,target_disjoint,0,34,-0.05953598561500767
external_lung,seed42_main,target_disjoint,0,35,-0.007367870439622652
external_lung,seed42_main,target_disjoint,0,36,0.07553908915697945
external_lung,seed42_main,target_disjoint,0,37,0.0006458837644961191
external_lung,seed42_main,target_disjoint,0,38,-0.010051883349787577
external_lung,seed42_main,target_disjoint,0,39,-0.07036290466592258
external_lung,seed42_main,target_disjoint,0,40,0.003552244235735654
external_lung,seed42_main,target_disjoint,0,41,0.01849324566529109
external_lung,seed42_main,target_disjoint,0,42,-0.29784011310383446
external_lung,seed42_main,target_disjoint,0,43,-0.05278661798820436
external_lung,seed42_main,target_disjoint,0,44,-0.06484423811393963
external_lung,seed42_main,target_disjoint,0,45,0.03983015755404328
external_lung,seed42_main,target_disjoint,0,46,0.022468499895523974
external_lung,seed42_main,target_disjoint,0,47,-0.1524326489060426
external_lung,seed42_main,target_disjoint,0,48,0.013392267127985516
external_lung,seed42_main,target_disjoint,0,49,-0.04344888568107319
external_lung,seed42_main,target_disjoint,0,50,0.04257066666786547
external_lung,seed42_main,target_disjoint,0,51,-0.01445995863265348
external_lung,seed42_main,target_disjoint,0,52,-0.15792664225951647
external_lung,seed42_main,target_disjoint,0,53,-0.19175012166686642
external_lung,seed42_main,target_disjoint,0,54,0.0284659459870014
external_lung,seed42_main,target_disjoint,0,55,-0.026581160926512398
