null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_spearman
layer_placebo,immune,all,all,-1,153,,0.08718425636326949
layer_placebo,immune,all,all,-1,154,,-0.09939005225412721
layer_placebo,immune,all,all,-1,155,,0.04707949843616552
layer_placebo,immune,all,all,-1,156,,0.026155276908980847
layer_placebo,immune,all,all,-1,157,,-0.06451634970881942
layer_placebo,immune,all,all,-1,158,,-0.371404932107528
layer_placebo,immune,all,all,-1,159,,-0.13949481018123117
layer_placebo,immune,all,all,-1,160,,-0.14472586556302736
layer_placebo,immune,all,all,-1,161,,-0.17436851272653897
layer_placebo,immune,all,all,-1,162,,-0.08718425636326949
layer_placebo,immune,all,all,-1,163,,-0.17088114247200822
layer_placebo,immune,all,all,-1,164,,-0.03138633229077701
layer_placebo,immune,all,all,-1,165,,-0.23191012192629684
layer_placebo,immune,all,all,-1,166,,-0.1761121978538044
layer_placebo,immune,all,all,-1,167,,-0.28247699061699316
layer_placebo,immune,all,all,-1,168,,-0.033130017418042404
layer_placebo,immune,all,all,-1,169,,-0.13600743992670042
layer_placebo,immune,all,all,-1,170,,-0.23191012192629684
layer_placebo,immune,all,all,-1,171,,-0.14646955069029274
layer_placebo,immune,all,all,-1,172,,-0.02441159178171546
layer_placebo,immune,all,all,-1,173,,0.17785588298106977
layer_placebo,immune,all,all,-1,174,,-0.22319169628996988
layer_placebo,immune,all,all,-1,175,,0.07497846047241175
layer_placebo,immune,all,all,-1,176,,-0.19006167887192746
layer_placebo,immune,all,all,-1,177,,-0.005231055381796169
layer_placebo,immune,all,all,-1,178,,-0.10462110763592339
layer_placebo,immune,all,all,-1,179,,-0.17785588298106977
layer_placebo,immune,all,all,-1,180,,-0.14646955069029274
layer_placebo,immune,all,all,-1,181,,-0.05579792407249247
layer_placebo,immune,all,all,-1,182,,-0.08195320098147331
layer_placebo,immune,all,all,-1,183,,0.04707949843616552
layer_placebo,immune,all,all,-1,184,,-0.12903269941763884
layer_placebo,immune,all,all,-1,185,,-0.1830869383628659
layer_placebo,immune,all,all,-1,186,,-0.1865743086173967
layer_placebo,immune,all,all,-1,187,,0.1203142737813119
layer_placebo,immune,all,all,-1,188,,-0.09939005225412721
layer_placebo,immune,all,all,-1,189,,-0.06277266458155402
layer_placebo,immune,all,all,-1,190,,0.0
layer_placebo,immune,all,all,-1,191,,-0.17436851272653897
layer_placebo,immune,all,all,-1,192,,-0.020924221527184678
layer_placebo,immune,all,all,-1,193,,-0.08020951585420794
layer_placebo,immune,all,all,-1,194,,-0.28770804599878935
layer_placebo,immune,all,all,-1,195,,-0.11508321839951573
layer_placebo,immune,all,all,-1,196,,-0.19180536399919287
layer_placebo,immune,all,all,-1,197,,-0.015693166145388505
layer_placebo,immune,all,all,-1,198,,-0.2214480111627045
layer_placebo,immune,all,all,-1,199,,-0.06626003483608481
layer_placebo,lung,all,all,-1,0,,-0.4638202438525937
layer_placebo,lung,all,all,-1,1,,-0.434177596689082
layer_placebo,lung,all,all,-1,2,,-0.40453494952557045
layer_placebo,lung,all,all,-1,3,,-0.4080223197801012
layer_placebo,lung,all,all,-1,4,,-0.41848443054369355
layer_placebo,lung,all,all,-1,5,,-0.4498707628344706
layer_placebo,lung,all,all,-1,6,,-0.3870980982529165
layer_placebo,lung,all,all,-1,7,,-0.5196181679250861
layer_placebo,lung,all,all,-1,8,,-0.3888417833801819
layer_placebo,lung,all,all,-1,9,,-0.371404932107528
layer_placebo,lung,all,all,-1,10,,-0.4272028561800205
layer_placebo,lung,all,all,-1,11,,-0.3801233577438549
layer_placebo,lung,all,all,-1,12,,-0.5004376315251668
layer_placebo,lung,all,all,-1,13,,-0.3696612469802626
layer_placebo,lung,all,all,-1,14,,-0.4969502612706361
layer_placebo,lung,all,all,-1,15,,-0.3382749146894856
layer_placebo,lung,all,all,-1,16,,-0.299913841889647
layer_placebo,lung,all,all,-1,17,,-0.33130017418042407
layer_placebo,lung,all,all,-1,18,,-0.37663598748932414
layer_placebo,lung,all,all,-1,19,,-0.39058546850744735
layer_placebo,lung,all,all,-1,20,,-0.38535441312565116
layer_placebo,lung,all,all,-1,21,,-0.46207655872532827
layer_placebo,lung,all,all,-1,22,,-0.38535441312565116
layer_placebo,lung,all,all,-1,23,,-0.3801233577438549
layer_placebo,lung,all,all,-1,24,,-0.39232915363471266
layer_placebo,lung,all,all,-1,25,,-0.47079498436165523
layer_placebo,lung,all,all,-1,26,,-0.46207655872532827
layer_placebo,lung,all,all,-1,27,,-0.46730761410712446
layer_placebo,lung,all,all,-1,28,,-0.3940728387619781
layer_placebo,lung,all,all,-1,29,,-0.3818670428711204
layer_placebo,lung,all,all,-1,30,,-0.36791756185299723
layer_placebo,lung,all,all,-1,31,,-0.35048071058034336
layer_placebo,lung,all,all,-1,32,,-0.31037595265323936
layer_placebo,lung,all,all,-1,33,,-0.30514489727144317
layer_placebo,lung,all,all,-1,34,,-0.3661738767257318
layer_placebo,lung,all,all,-1,35,,-0.4551018182162667
layer_placebo,lung,all,all,-1,36,,-0.5021813166524322
layer_placebo,lung,all,all,-1,37,,-0.3801233577438549
layer_placebo,lung,all,all,-1,38,,-0.434177596689082
layer_placebo,lung,all,all,-1,39,,-0.41325337516189736
layer_placebo,lung,all,all,-1,40,,-0.3801233577438549
layer_placebo,lung,all,all,-1,41,,-0.3121196377805048
layer_placebo,lung,all,all,-1,42,,-0.4097660049073666
layer_placebo,lung,all,all,-1,43,,-0.39756020901650885
layer_placebo,lung,all,all,-1,44,,-0.568441351488517
layer_placebo,lung,all,all,-1,45,,-0.4690512992343898
layer_placebo,lung,all,all,-1,46,,-0.5318239638159439
layer_placebo,lung,all,all,-1,47,,-0.38361072799838575
layer_placebo,lung,all,all,-1,48,,-0.4202281156709589
layer_placebo,lung,all,all,-1,49,,-0.40453494952557045
layer_placebo,lung,all,all,-1,50,,-0.45335813308900136
layer_placebo,lung,all,all,-1,51,,-0.41848443054369355
layer_placebo,lung,all,all,-1,52,,-0.38535441312565116
layer_placebo,lung,all,all,-1,53,,-0.38361072799838575
