domain,seed_tag,layer,n_points,pca_dim,h1_sum_observed,h1_sum_null_mean,h1_sum_null_std,h1_sum_delta,h1_sum_z,h1_sum_p_perm,h1_max_observed,h1_count_observed,mle_intrinsic_dim,participation_ratio_dim,linearity_top5_ratio
external_lung,seed42_main,7,350,20,48.94907355308533,42.76868003606796,4.798500860390817,6.1803935170173645,1.2879842466519875,0.14285714285714285,1.565497875213623,183,9.534399378819204,1.5851129266964614,0.910588576080143
external_lung,seed43,7,350,20,54.894794940948486,46.332231032848355,4.068421414461638,8.562563908100131,2.104640358926178,0.09523809523809523,1.0327301025390625,208,10.07687158160597,1.6529455823384247,0.9053255743957531
external_lung,seed44,7,350,20,56.16070818901062,35.55337945222855,4.200307634631644,20.607328736782073,4.906147483571911,0.047619047619047616,1.078599452972412,195,9.638444642400959,1.5302057686578747,0.9168761608442526
external_lung,seed42_main,8,350,20,59.016623735427856,42.011199104785916,3.7702096929546856,17.00542463064194,4.510471833412651,0.047619047619047616,1.430246114730835,188,8.673632514748107,1.556997988437143,0.9242687403003295
external_lung,seed43,8,350,20,47.5678813457489,32.203832674026486,3.5205502316790827,15.364048671722415,4.364104374681971,0.047619047619047616,0.9320068359375,179,9.856276106529242,1.463701234484289,0.9380371374897725
external_lung,seed44,8,350,20,62.54545736312866,44.707402849197386,5.157237603999062,17.838054513931276,3.4588389909823674,0.047619047619047616,1.416532039642334,225,9.802218985112464,1.5878770846639054,0.9200941483117261
external_lung,seed42_main,9,350,20,49.050042390823364,35.381676125526425,3.8651177306827478,13.668366265296939,3.5363389200944657,0.047619047619047616,0.9322452545166016,190,9.62639598862384,1.3661397955503471,0.9476351270350296
external_lung,seed43,9,350,20,44.94461798667908,34.029107737541196,3.8299484014813974,10.915510249137881,2.8500410715887967,0.047619047619047616,1.001004695892334,193,9.933028867353238,1.3675278597001408,0.9487431277771553
external_lung,seed44,9,350,20,45.43473410606384,32.50908941030502,4.1220994011977465,12.92564469575882,3.1356945659455366,0.047619047619047616,0.9379611015319824,194,9.784452670442535,1.328144535074801,0.952376215785142
external_lung,seed42_main,10,350,20,31.992000699043274,25.597895044088364,2.9760308513969607,6.39410565495491,2.1485347337057865,0.09523809523809523,0.6926193237304688,190,9.974960466368234,1.1825909536836336,0.9698054954543414
external_lung,seed43,10,350,20,29.095608711242676,21.841794884204866,2.757403020306547,7.25381382703781,2.6306687020313473,0.047619047619047616,0.6098129749298096,162,9.635758489219477,1.1422967546194982,0.9756175349675554
external_lung,seed44,10,350,20,32.1514630317688,24.493266344070435,2.2513651045156777,7.658196687698364,3.4015791880829767,0.047619047619047616,0.7261874675750732,180,9.892947673259487,1.1728987298532185,0.9720746292568773
external_lung,seed42_main,11,350,20,23.75840127468109,19.191580069065093,2.1559714138529418,4.566821205615998,2.1182197380513506,0.047619047619047616,0.5134139060974121,183,9.462184805977914,1.1197508153209363,0.9791645698591679
external_lung,seed43,11,350,20,21.593727350234985,16.98272541165352,1.8792251384326273,4.611001938581467,2.453671910739558,0.047619047619047616,0.4530069828033447,173,9.662970858861744,1.1036274728989077,0.9814515500571737
external_lung,seed44,11,350,20,20.840043783187866,17.882640534639357,2.444858452899596,2.957403248548509,1.2096419094657174,0.09523809523809523,0.4007079601287842,180,9.775856045952093,1.1044386904009356,0.9814579048675689
immune,seed42_main,0,350,20,47.470099449157715,25.247614002227785,2.977248920124769,22.22248544692993,7.464100596108215,0.047619047619047616,1.5308442115783691,118,9.548547369683519,1.9087866389666783,0.8393118020838956
immune,seed43,0,350,20,25.94298553466797,21.243173563480376,3.266706083913781,4.699811971187593,1.4387005898363936,0.047619047619047616,2.060077667236328,65,9.566621968025764,1.889421711083839,0.8498024307931711
immune,seed44,0,350,20,28.118698120117188,15.800158184766769,2.735003354349347,12.318539935350419,4.504031013803619,0.047619047619047616,1.5811657905578613,64,8.823032859577546,1.897031638266765,0.8460861822896408
immune,seed42_main,1,350,20,32.710314989089966,21.35474361181259,3.936522095339103,11.355571377277375,2.8846710622653076,0.047619047619047616,1.114182472229004,96,9.210607018055166,1.6432414692681456,0.8725011614383708
