domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,best_diffusion_t,best_diffusion_auc,best_baseline_auc,delta_best_diffusion_minus_baseline,p_random_label_upper,p_coexp_degree_matched_upper,null_random_mean,null_matched_mean,coexpression_abs_mean,coexpression_missing_fraction,auc_diffusion_t1,auc_diffusion_t2,auc_diffusion_t4,auc_diffusion_t8
immune,seed44,target_disjoint,3,1467,358,228,24,24,True,2,0.6001178775987225,0.5957868833465148,0.004330994252207732,0.6611570247933884,0.19008264462809918,0.009182604070639236,-0.003157696550820857,0.0646678953393489,0.0,0.573158414395172,0.6001178775987225,0.5974341472260982,0.5887998649948869
immune,seed44,target_disjoint,7,1467,358,228,24,24,True,4,0.6094977104543324,0.5730589236868486,0.0364387867674838,0.03305785123966942,0.5454545454545454,0.00563291622798401,0.03709716757929452,0.0646678953393489,0.0,0.6038481494728252,0.6091324913984616,0.6094977104543324,0.5996619834669111
immune,seed44,target_disjoint,11,1467,358,228,24,24,True,2,0.5824286815340208,0.5794212915153316,0.0030073900186892155,0.6115702479338843,0.71900826446281,0.005732144566296075,0.006915055504900658,0.0646678953393489,0.0,0.5585823959377566,0.5824286815340208,0.581217161769373,0.5719443758784148
lung,seed42_main,source_disjoint,0,1239,521,277,24,24,True,1,0.564360908687493,0.5267604617218868,0.03760044696560616,0.008264462809917356,0.1487603305785124,0.00734985974404625,0.025163602243382398,0.04738876278671087,0.0,0.564360908687493,0.5241487069541646,0.5180844636680051,0.5166048257315319
lung,seed42_main,source_disjoint,3,1239,521,277,24,24,True,1,0.5584757724324874,0.5213511620571111,0.03712461037537629,0.008264462809917356,0.008264462809917356,0.002762692540058485,0.014139096658985573,0.04738876278671087,0.0,0.5584757724324874,0.5543817064890211,0.5521134629676163,0.5549404134966505
lung,seed42_main,source_disjoint,7,1239,521,277,24,24,True,1,0.5685057661771074,0.5380107891936976,0.03049497698340975,0.04132231404958678,0.12396694214876033,0.007266488094283371,0.01775087682248087,0.04738876278671087,0.0,0.5685057661771074,0.5196175663898973,0.5178746143852352,0.514260394890905
lung,seed42_main,source_disjoint,11,1239,521,277,24,24,True,1,0.5583060217387817,0.5316230839557525,0.026682937783029215,0.03305785123966942,0.33884297520661155,0.006735237481666031,0.020653580269355577,0.04738876278671087,0.0,0.5583060217387817,0.5126337287945295,0.513803270975572,0.51277541047589
lung,seed42_main,target_disjoint,0,1612,864,279,24,24,True,8,0.5491147690136661,0.5357635794216676,0.013351189591998436,0.1487603305785124,0.30578512396694213,0.004869937374149995,0.009704253781689431,0.04710140524993395,0.0,0.5298202614379085,0.5423498155575361,0.5442545863042186,0.5491147690136661
lung,seed42_main,target_disjoint,3,1612,864,279,24,24,True,4,0.571806453010497,0.5212913448207566,0.050515108189740476,0.01652892561983471,0.05785123966942149,0.00450707416278801,0.035173580164388984,0.04710140524993395,0.0,0.5519487150920975,0.5698591305208953,0.571806453010497,0.5717747326203209
lung,seed42_main,target_disjoint,7,1612,864,279,24,24,True,4,0.5622114218162012,0.5241098175381265,0.03810160427807474,0.01652892561983471,0.256198347107438,0.0059114106238033984,0.032148995830444976,0.04710140524993395,0.0,0.5534357050901169,0.5583067191523073,0.5622114218162012,0.5615754666765697
