perm_idx,domain,null_cycle_return_rate,null_edge_auc
85,immune,0.019230769230769232,0.5980689245395128
85,lung,0.019230769230769232,0.5892353770260748
86,external_lung,0.019230769230769232,0.5797727813981683
86,immune,0.019230769230769232,0.5980849216143334
86,lung,0.019230769230769232,0.5890930774651706
87,external_lung,0.023076923076923078,0.5797457186776072
87,immune,0.023076923076923078,0.5980843502902327
87,lung,0.023076923076923078,0.5890591966173362
88,external_lung,0.019230769230769232,0.5796672367879798
88,immune,0.019230769230769232,0.5980649252708076
88,lung,0.019230769230769232,0.5892014961782404
89,external_lung,0.015384615384615385,0.579418259758817
89,immune,0.015384615384615385,0.5980523561405914
89,lung,0.015384615384615385,0.5890727489564699
90,external_lung,0.019230769230769232,0.5792829461560112
90,immune,0.019230769230769232,0.5980740664564195
90,lung,0.019230769230769232,0.5892116604325908
91,external_lung,0.019230769230769232,0.5793235402368528
91,immune,0.019230769230769232,0.5980843502902327
91,lung,0.019230769230769232,0.5889507779042663
92,external_lung,0.046153846153846156,0.5798187880231224
92,immune,0.046153846153846156,0.5980540701128937
92,lung,0.046153846153846156,0.5890015991760178
93,external_lung,0.019230769230769232,0.5793127151486284
93,immune,0.019230769230769232,0.5980746377805202
93,lung,0.019230769230769232,0.5891405106521386
94,external_lung,0.026923076923076925,0.579740306133495
94,immune,0.026923076923076925,0.5980843502902327
94,lung,0.026923076923076925,0.5892455412804251
95,external_lung,0.03461538461538462,0.5795183918248934
95,immune,0.03461538461538462,0.5980797796974268
95,lung,0.03461538461538462,0.5892184366021576
96,external_lung,0.026923076923076925,0.5799297451774232
96,immune,0.026923076923076925,0.5980757804287216
96,lung,0.026923076923076925,0.5891777795847564
97,external_lung,0.007692307692307693,0.5798972699127498
97,immune,0.007692307692307693,0.5980929201517436
97,lung,0.007692307692307693,0.5892624817043421
98,external_lung,0.015384615384615385,0.5795887548983524
98,immune,0.015384615384615385,0.5980763517528224
98,lung,0.015384615384615385,0.5892421531956415
99,external_lung,0.007692307692307693,0.5797105371408777
99,immune,0.007692307692307693,0.5980603546780017
99,lung,0.007692307692307693,0.5891167940586546
100,external_lung,0.011538461538461539,0.579648292883587
100,immune,0.011538461538461539,0.5980854929384342
100,lung,0.011538461538461539,0.589143898736922
101,external_lung,0.023076923076923078,0.579466972655827
101,immune,0.023076923076923078,0.5980689245395128
101,lung,0.023076923076923078,0.5890524204477693
102,external_lung,0.026923076923076925,0.5798810322804131
102,immune,0.026923076923076925,0.5980626399744047
