domain,seed_tag,split_regime,perm_idx,null_breakpoint,null_improvement
external_lung,seed42_main,target_disjoint,71,2.0,0.0007763645428375781
external_lung,seed42_main,target_disjoint,72,2.0,0.0005887142885930947
external_lung,seed42_main,target_disjoint,73,9.0,0.00066994148563377
external_lung,seed42_main,target_disjoint,74,4.0,0.0007361834899744428
external_lung,seed42_main,target_disjoint,75,8.0,0.0007118763013425232
external_lung,seed42_main,target_disjoint,76,5.0,0.0013682747633826419
external_lung,seed42_main,target_disjoint,77,1.0,0.0010128460635195344
external_lung,seed42_main,target_disjoint,78,2.0,0.0005948827945381364
external_lung,seed42_main,target_disjoint,79,7.0,0.0012779685542572807
external_lung,seed42_main,target_disjoint,80,7.0,0.0006315193051624787
external_lung,seed42_main,target_disjoint,81,3.0,0.0010503128551240543
external_lung,seed42_main,target_disjoint,82,4.0,0.00093668901756597
external_lung,seed42_main,target_disjoint,83,8.0,0.0010127992915011377
external_lung,seed42_main,target_disjoint,84,7.0,0.0015066762864495325
external_lung,seed42_main,target_disjoint,85,2.0,0.0004897130856193806
external_lung,seed42_main,target_disjoint,86,5.0,0.0010365302741173657
external_lung,seed42_main,target_disjoint,87,1.0,0.0009627388159882907
external_lung,seed42_main,target_disjoint,88,4.0,0.0013620848848455618
external_lung,seed42_main,target_disjoint,89,2.0,0.0005361122076420256
external_lung,seed42_main,target_disjoint,90,1.0,0.001255130848554926
external_lung,seed42_main,target_disjoint,91,7.0,0.0012374971914367997
external_lung,seed42_main,target_disjoint,92,2.0,0.0014888438368863364
external_lung,seed42_main,target_disjoint,93,6.0,0.0009848902685385525
external_lung,seed42_main,target_disjoint,94,4.0,0.001169030002853317
external_lung,seed42_main,target_disjoint,95,2.0,0.0007345891371442264
external_lung,seed42_main,target_disjoint,96,2.0,0.0010240946177086506
external_lung,seed42_main,target_disjoint,97,8.0,0.0010053073995743961
external_lung,seed42_main,target_disjoint,98,5.0,0.0012605065769240049
external_lung,seed42_main,target_disjoint,99,1.0,0.0008563102797826253
external_lung,seed42_main,target_disjoint,100,7.0,0.0013589168930959938
external_lung,seed42_main,target_disjoint,101,2.0,0.0016365801107306166
external_lung,seed42_main,target_disjoint,102,9.0,0.0008938356595447074
external_lung,seed42_main,target_disjoint,103,3.0,0.0015863253895695723
external_lung,seed42_main,target_disjoint,104,5.0,0.0009399085804431087
external_lung,seed42_main,target_disjoint,105,9.0,0.000930573189759757
external_lung,seed42_main,target_disjoint,106,5.0,0.0011551891153253845
external_lung,seed42_main,target_disjoint,107,5.0,0.001076406951475608
