domain,seed_tag,split_regime,layer,perm_idx,null_delta_auc,null_gain_logloss,null_gain_brier
external_lung,seed44,target_disjoint,0,62,0.0005109741743405394,0.0004491230848037153,0.00029293282762293815
external_lung,seed44,target_disjoint,0,63,0.00021879110988032302,0.0005945310111599156,9.092126940640766e-05
external_lung,seed44,target_disjoint,0,64,0.001405525167901489,0.0016108088396424858,0.0005858689508475012
external_lung,seed44,target_disjoint,0,65,0.0012144291352212955,0.001832671659623919,0.0006312844003717177
external_lung,seed44,target_disjoint,0,66,0.0009056290244409126,0.0017739840910426796,0.00032079475403148927
external_lung,seed44,target_disjoint,0,67,0.0010205635948210556,0.0011778521173422818,0.0004347017348283744
external_lung,seed44,target_disjoint,0,68,0.00016893997092015667,0.00042661079774969357,6.156673126575529e-05
external_lung,seed44,target_disjoint,0,69,-3.738835422006925e-05,0.00018801262837292443,-3.389680129362027e-07
external_lung,seed44,target_disjoint,0,70,7.47767084401385e-05,0.000177737981133963,3.1398631555323853e-06
external_lung,seed44,target_disjoint,0,71,-2.631032333999528e-05,5.498944917575743e-05,1.2029372792238258e-05
external_lung,seed44,target_disjoint,0,72,0.00016340095548028621,0.00011508487285571967,9.06588936663566e-05
external_lung,seed44,target_disjoint,0,73,4.4312123520073854e-05,8.277013495316954e-05,7.944464939851903e-05
external_lung,seed44,target_disjoint,0,74,0.001289205843661434,0.001503514538343742,0.0006340882974494033
external_lung,seed44,target_disjoint,0,75,0.000829467562140862,0.0011865965806906464,0.0004680272976936295
external_lung,seed44,target_disjoint,0,76,0.0006632970989406406,0.0007029139247211047,0.0002666637044720921
external_lung,seed44,target_disjoint,0,77,0.0009125527937410283,0.0013266259998492846,0.0005334232388989613
external_lung,seed44,target_disjoint,0,78,0.00017586374022016127,0.0003692281503872574,0.00011520195745107209
external_lung,seed44,target_disjoint,0,79,0.0007463823305406958,0.0005242198156483191,0.00040058799478140394
external_lung,seed44,target_disjoint,3,0,0.00020355881742017967,0.00014168970893863042,6.576485515386032e-05
external_lung,seed44,target_disjoint,3,1,7.893097001998584e-05,6.972122084869525e-05,1.784413029093379e-05
external_lung,seed44,target_disjoint,3,2,5.262064667999056e-05,9.129584702921578e-05,2.5902117207432518e-05
external_lung,seed44,target_disjoint,3,3,0.0010330263795610417,0.0008681556942702895,0.0005120143769067886
external_lung,seed44,target_disjoint,3,4,7.616146230005061e-05,0.00031647908285692417,5.6437253751595584e-05
external_lung,seed44,target_disjoint,3,5,0.0003974243578204195,0.00027054866718556614,0.00025634043084399316
external_lung,seed44,target_disjoint,3,6,1.3847538600009202e-05,3.673995201836089e-05,-3.4761653822101835e-07
external_lung,seed44,target_disjoint,3,7,0.0005192826975006781,0.00042516614902721184,0.00020798536312802152
external_lung,seed44,target_disjoint,3,8,9.000900089994879e-05,0.0005156804142932292,6.023659592313546e-05
external_lung,seed44,target_disjoint,3,9,0.0006369867756006453,0.0007975311339296076,0.000288855148072642
external_lung,seed44,target_disjoint,3,10,0.0007796164231806957,0.0008336909204892384,0.00054218492225655
external_lung,seed44,target_disjoint,3,11,0.0007574603614206588,0.0005323671775200878,0.00047127486281700603
external_lung,seed44,target_disjoint,3,12,0.0001910960326801936,0.0003271949417469888,7.554386565403193e-05
external_lung,seed44,target_disjoint,3,13,0.0006646818528005527,0.000787653305084568,0.0004285974412442384
external_lung,seed44,target_disjoint,3,14,0.0004915876203004377,0.0005579567290866505,0.00020842010100319275
external_lung,seed44,target_disjoint,3,15,-4.569687738009698e-05,4.13640817009675e-05,-3.911608039694481e-05
external_lung,seed44,target_disjoint,3,16,0.0006522190680606776,0.0013996771334238156,0.0004019305713501009
external_lung,seed44,target_disjoint,3,17,0.0008128505158206956,0.0009006156449961611,0.0005722631080552765
external_lung,seed44,target_disjoint,3,18,4.154261579991658e-05,4.066370921379514e-05,3.3743312164991046e-06
external_lung,seed44,target_disjoint,3,19,0.0010690299799210878,0.0013508451201455496,0.0005147174589342218
external_lung,seed44,target_disjoint,3,20,0.0005497472824205207,0.0012669641292660239,0.00038779750511849786
external_lung,seed44,target_disjoint,3,21,0.000725611022640682,0.0008097473653367326,0.0004441678574985952
external_lung,seed44,target_disjoint,3,22,0.0002949525721802626,0.0002049907785049987,0.00012991147050417373
external_lung,seed44,target_disjoint,3,23,5.5390154400036806e-05,4.095702691603309e-05,-1.5383613073516322e-05
external_lung,seed44,target_disjoint,3,24,0.0008654711625007971,0.0010345578794614951,0.0004657854929007166
external_lung,seed44,target_disjoint,3,25,0.0016977082323615944,0.0026165490389263857,0.0010146797817725817
external_lung,seed44,target_disjoint,3,26,9.693277019939828e-06,2.0235110591237948e-05,-1.77674430089092e-05
external_lung,seed44,target_disjoint,3,27,1.1078030879962952e-05,0.0001395124008114479,-7.450305971071214e-05
external_lung,seed44,target_disjoint,3,28,0.00021186734058009637,0.0005549601319183028,0.00014685860998214784
external_lung,seed44,target_disjoint,3,29,0.000218791109880212,0.0003467302036502806,0.00015385604256556995
external_lung,seed44,target_disjoint,3,30,-1.384753860134147e-06,1.1379228813113151e-05,2.816186463999726e-06
external_lung,seed44,target_disjoint,3,31,0.0003171086339401885,0.0005169647044766523,0.00023962343448941104
external_lung,seed44,target_disjoint,3,32,0.0007934639617808159,0.00061078592682412,0.00046095575132260036
external_lung,seed44,target_disjoint,3,33,0.00029218306446021636,0.0006627632834784181,0.0002291541583155643
external_lung,seed44,target_disjoint,3,34,0.0011133421034410507,0.0010525935914816875,0.00048497864029789506
external_lung,seed44,target_disjoint,3,35,0.00020494357128009177,0.0003752131288986549,0.00012577403995267522
