domain,seed_tag,split_regime,layer,n_edges,n_positive,n_unique_genes,pca_dim,knn_k,used_component_bridging,coexp_missing_fraction,auc_geodesic_diffusion_base,auc_with_detour_convexity,delta_auc_incremental,gain_logloss_incremental,gain_brier_incremental,mean_detour_ratio,mean_convexity_deficit,p_delta_auc_upper,p_gain_logloss_upper,p_gain_brier_upper
immune,seed43,target_disjoint,3,1465,358,228,24,24,True,0.0,0.795488839432156,0.8014968231619002,0.006007983729744204,0.003540588170186376,0.0014660750218107033,0.956313993238524,0.9288063204253595,0.012345679012345678,0.024691358024691357,0.024691358024691357
immune,seed43,target_disjoint,7,1465,358,228,24,24,True,0.0,0.7957512629130015,0.8024935277285733,0.00674226481557183,0.002936948241701709,0.0012002820207920317,0.9563139932526284,0.9285301933334267,0.012345679012345678,0.04938271604938271,0.037037037037037035
immune,seed43,target_disjoint,11,1465,358,228,24,24,True,0.0,0.7942221414765359,0.7976084137005244,0.0033862722239884624,0.001287440342087276,0.0004317717661435905,0.9563139932027096,0.9299883255691176,0.16049382716049382,0.24691358024691357,0.2222222222222222
immune,seed44,source_disjoint,0,1289,319,260,24,24,True,0.0,0.819552079630288,0.8196490320912646,9.695246097662924e-05,0.00017077447474572738,7.247153008535512e-05,1.4288730544281847,0.9519163186712131,0.7037037037037037,0.7160493827160493,0.6172839506172839
immune,seed44,source_disjoint,3,1289,319,260,24,24,True,0.0,0.8197653750444365,0.8197653750444365,0.0,9.633283668802894e-05,0.0001094403717092074,1.378675936393294,0.9542399039832071,0.9012345679012346,0.9259259259259259,0.8148148148148148
immune,seed44,source_disjoint,7,1289,319,260,24,24,True,0.0,0.8019487444656305,0.8057298904437191,0.0037811459780886514,0.005023724745523983,0.001984954527347843,0.9674166020637089,0.9427179803834174,0.037037037037037035,0.012345679012345678,0.012345679012345678
immune,seed44,source_disjoint,11,1289,319,260,24,24,True,0.0,0.798991694405843,0.8018614872507513,0.002869792844908403,0.0020707960440112805,0.0006596239038958451,0.9674166020365246,0.9416201662899826,0.1111111111111111,0.06172839506172839,0.07407407407407407
immune,seed44,target_disjoint,0,1467,358,228,24,24,True,0.0,0.8080232329694577,0.8090685150948814,0.0010452821254237632,0.0009342067543672838,0.0005006156269043716,1.3704542203736279,0.938560016918211,0.7901234567901234,0.691358024691358,0.4074074074074074
immune,seed44,target_disjoint,3,1467,358,228,24,24,True,0.0,0.8046833676723205,0.8109978792107237,0.0063145115384032335,0.005359987754332107,0.002239320207984119,0.9495569189587955,0.9238578066810842,0.024691358024691357,0.012345679012345678,0.012345679012345678
immune,seed44,target_disjoint,7,1467,358,228,24,24,True,0.0,0.8038043231861208,0.8077965452796068,0.003992222093485931,0.0030380828913974534,0.001155255661186405,0.9495569189436714,0.9225018345462229,0.024691358024691357,0.04938271604938271,0.04938271604938271
