domain,seed_tag,layer,sample_size,pca_dim,bootstrap_idx,h1_observed,h1_null_mean,h1_null_std,h1_delta_observed_minus_null,h1_delta_z,p_h1_upper
immune,seed42_main,10,180,10,1,8.057965993881226,5.012149915099144,0.8750248221434009,3.0458160787820816,3.4808339126202443,0.04
immune,seed42_main,10,180,10,2,6.720834016799927,4.592121253410975,0.950368741700944,2.1287127633889513,2.2398808670192145,0.04
immune,seed42_main,10,180,10,3,6.232828617095947,4.584369201213121,1.0748695811717905,1.6484594158828259,1.533636678556005,0.12
immune,seed42_main,10,180,14,0,8.880942583084106,5.528215828041236,1.212658423905108,3.3527267550428705,2.764774223462988,0.04
immune,seed42_main,10,180,14,1,9.77025818824768,6.177785769104958,1.2984574601651864,3.592472419142723,2.7667232285907732,0.04
immune,seed42_main,10,180,14,2,10.49783730506897,5.774022462467353,1.3160191421746443,4.723814842601617,3.589472742171757,0.04
immune,seed42_main,10,180,14,3,3.9764256477355957,5.139307339986165,1.3871866861277824,-1.1628816922505694,-0.8383022292827476,0.92
immune,seed42_main,11,120,10,0,3.3408873081207275,2.1524085539082685,0.4571979779350182,1.188478754212459,2.599483831885832,0.04
immune,seed42_main,11,120,10,1,4.313146591186523,2.3637602478265762,0.5342158560303681,1.9493863433599472,3.649061175750783,0.04
immune,seed42_main,11,120,10,2,3.011001467704773,1.8725330928961437,0.4976058780229107,1.1384683748086293,2.2878917287796194,0.04
immune,seed42_main,11,120,10,3,3.328523278236389,2.196835088233153,0.7779076291551149,1.1316881900032363,1.454784792093603,0.08
immune,seed42_main,11,120,14,0,2.8039474487304688,1.9719028621912003,0.6138206646462475,0.8320445865392685,1.3555173898605528,0.2
immune,seed42_main,11,120,14,1,3.1993091106414795,1.8573515564203262,0.6890382085294036,1.3419575542211533,1.9475807519261927,0.12
immune,seed42_main,11,120,14,2,4.447949409484863,2.7818524539470673,0.8679534071535481,1.666096955537796,1.9195695758395477,0.08
immune,seed42_main,11,120,14,3,3.634671449661255,1.611194056769212,0.5297678520518008,2.023477392892043,3.8195548884960133,0.04
immune,seed42_main,11,180,10,0,4.937664151191711,3.374803811311722,0.9881336262922923,1.5628603398799896,1.58162853354417,0.12
immune,seed42_main,11,180,10,1,7.861165285110474,3.9491570815443993,0.770688351046851,3.9120082035660744,5.075992381584949,0.04
immune,seed42_main,11,180,10,2,4.70442008972168,3.0674377170701823,0.6533788552844487,1.6369823726514974,2.5054106922903494,0.04
immune,seed42_main,11,180,10,3,6.417101144790649,3.778895124172171,0.6462300552808087,2.6382060206184783,4.082456386819757,0.04
immune,seed42_main,11,180,14,0,4.256591439247131,3.677593879401684,0.994514504966161,0.5789975598454475,0.5821911660131666,0.32
immune,seed42_main,11,180,14,1,6.112360715866089,3.508940152823925,0.624290981935411,2.603420563042164,4.170203693798206,0.04
immune,seed42_main,11,180,14,2,7.129572749137878,3.6434618160128593,0.8138472012783077,3.486110933125019,4.283495628375816,0.04
immune,seed42_main,11,180,14,3,6.751512050628662,3.2393527378638587,0.7147457145444261,3.5121593127648034,4.9138585043347485,0.04
immune,seed43,0,120,10,0,6.866480827331543,3.8137318789958954,1.1969299434855545,3.0527489483356476,2.550482559484909,0.04
immune,seed43,0,120,10,1,11.285436630249023,4.849278599023819,1.6797247858494848,6.4361580312252045,3.8316741418675804,0.04
immune,seed43,0,120,10,2,9.89392375946045,5.686334351698558,1.9173299394840655,4.207589407761891,2.1945046175514307,0.04
immune,seed43,0,120,10,3,15.635875701904297,8.196506852904955,1.6397745526428018,7.439368848999342,4.536824182612537,0.04
immune,seed43,0,120,14,0,6.019917964935303,6.074214523037274,1.5711749179823011,-0.05429655810197165,-0.03455793333128129,0.44
immune,seed43,0,120,14,1,9.72524118423462,5.679131269454956,1.6848366043258953,4.046109914779663,2.4014850472678506,0.04
immune,seed43,0,120,14,2,9.475441932678223,4.597423732280731,1.5511884302947543,4.8780182003974915,3.144697382977438,0.04
immune,seed43,0,120,14,3,5.818315505981445,3.4539287189642587,1.0094224810184087,2.3643867870171866,2.3423163532968223,0.04
immune,seed43,0,180,10,0,15.890532493591309,9.102708923319975,2.1927787697287555,6.787823570271334,3.0955350630357685,0.04
immune,seed43,0,180,10,1,17.78457021713257,9.123747430741787,1.2642947652675856,8.660822786390781,6.850319258980255,0.04
immune,seed43,0,180,10,2,14.965209484100342,9.075372233986855,1.7920349901545516,5.889837250113487,3.286675360238837,0.04
immune,seed43,0,180,10,3,9.750526189804077,7.296803409854571,1.6951188134627246,2.453722779949506,1.4475225919353765,0.12
immune,seed43,0,180,14,0,26.30936098098755,12.671683207154274,3.000636122745942,13.637677773833275,4.544928878883266,0.04
immune,seed43,0,180,14,1,16.401891469955444,8.197056819995245,2.2526757347764903,8.2048346499602,3.6422617421819115,0.04
immune,seed43,0,180,14,2,12.862471580505371,7.705449879169464,1.978202013866911,5.157021701335907,2.6069236926153163,0.08
immune,seed43,0,180,14,3,13.721028327941895,7.547638510664304,2.02749393663647,6.173389817277591,3.044837620808946,0.04
immune,seed43,1,120,10,0,9.527252197265625,5.01060988008976,1.1314348080173018,4.516642317175865,3.991959838232975,0.04
immune,seed43,1,120,10,1,6.63950252532959,4.5099730143944425,1.090391706516813,2.1295295109351473,1.9529949615856845,0.08
immune,seed43,1,120,10,2,12.380301475524902,5.415392542878787,1.3222594799004408,6.964908932646115,5.2674297543346835,0.04
immune,seed43,1,120,10,3,11.929852485656738,5.082642753918965,1.3261103525891236,6.847209731737773,5.163378532718464,0.04
immune,seed43,1,120,14,0,8.64525318145752,4.483237341046333,1.6280882674572628,4.162015840411186,2.5563821821251818,0.04
