domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70_baseline,auc_sparse_descriptor_blend,delta_auc_sparse_descriptor_blend_minus_h70,descriptor_nonzero_count,q95_null_delta_auc,null_gap_q95_delta_auc,p_feature_shuffle_upper,p_endpoint_swap_upper,p_label_shuffle_upper,p_best_upper
lung,seed43,target_disjoint,7,300,198,0.8614824717765893,0.9518221429986136,0.09033967122202424,3,0.029965092097445054,0.06037457912457919,0.2,0.2,0.2,0.2
lung,seed43,target_disjoint,11,300,198,0.8252129134482076,0.9311744899980194,0.10596157654981186,4,0.031226480491186384,0.07473509605862548,0.2,0.2,0.2,0.2
lung,seed44,source_disjoint,0,300,147,0.8524743230625583,0.921479702992308,0.06900537992974964,2,0.015102707749766547,0.0539026721799831,0.2,0.2,0.2,0.2
lung,seed44,source_disjoint,3,300,147,0.7987194877951179,0.9207683073229291,0.12204881952781121,1,0.035560891023075865,0.08648792850473536,0.2,0.2,0.2,0.2
lung,seed44,source_disjoint,7,300,147,0.8576319416655551,0.930905695611578,0.07327375394602287,1,0.02666177582143963,0.04661197812458324,0.2,0.2,0.2,0.2
lung,seed44,source_disjoint,11,300,147,0.8309990662931839,0.91947890267218,0.08847983637899615,3,0.07422746876528385,0.014252367613712291,0.2,0.2,0.4,0.2
lung,seed44,target_disjoint,0,300,192,0.8100405092592593,0.9563560956790124,0.14631558641975306,3,0.02523148148148139,0.12108410493827168,0.2,0.2,0.2,0.2
lung,seed44,target_disjoint,3,300,192,0.8550829475308642,0.9520158179012346,0.09693287037037035,3,0.03815345293209868,0.05877941743827167,0.2,0.2,0.2,0.2
lung,seed44,target_disjoint,7,300,192,0.8733603395061729,0.947386188271605,0.07402584876543217,3,0.015829957561728315,0.05819589120370385,0.2,0.2,0.2,0.2
lung,seed44,target_disjoint,11,300,192,0.8559027777777777,0.9362943672839507,0.08039158950617298,3,0.02226803626543215,0.058123553240740825,0.2,0.2,0.2,0.2
