domain,split_regime,layer,diffusion_t,source,target,source_idx,target_idx,label,diffusion_score,geodesic_score,euclidean_score,prior_support_count,dorothea_support,go_shared,source_is_tf,trrust_support_bookkeeping,source_degree,target_degree,mean_degree
external_lung,source_disjoint,3,1,CBFB,EZH2,1972,3249,0,-0.17038296950785473,-3.9936862462420684,-3.9936862462420684,1,0,1,0,0,8.0,9.0,8.5
external_lung,source_disjoint,3,1,CBFB,GATA1,1972,2107,1,-1.0092406393257463,-19.95297590794994,-19.95297590794994,1,0,1,0,1,8.0,9.0,8.5
external_lung,source_disjoint,3,1,CBFB,IL1B,1972,3697,0,-0.21754459135949167,-9.199234621864894,-9.199234621864894,1,0,1,0,0,8.0,16.0,12.0
external_lung,source_disjoint,3,1,CBFB,NKX2-1,1972,394,0,-0.2489752784472853,-10.459714329315636,-10.459714329315636,1,0,1,0,0,8.0,11.0,9.5
external_lung,source_disjoint,3,1,CBFB,RUNX1,1972,3415,1,-0.16036962776762737,-5.1425204855465445,-5.1425204855465445,1,0,1,0,1,8.0,11.0,9.5
external_lung,source_disjoint,3,1,CBFB,RUNX2,1972,3881,1,-0.18873391202311512,-7.228102312048655,-7.228102312048655,1,0,1,0,1,8.0,10.0,9.0
external_lung,source_disjoint,3,1,CBFB,TCF12,1972,3329,0,-0.20398327853870218,-6.330625206096539,-6.330625206096539,1,0,1,0,0,8.0,5.0,6.5
external_lung,source_disjoint,3,1,CBFB,TCF4,1972,853,0,-0.22851421865913704,-7.560016485803332,-7.560016485803332,1,0,1,0,0,8.0,6.0,7.0
external_lung,source_disjoint,3,1,CBX7,CDH1,3305,3844,1,-0.24977874840913802,-10.28693441753209,-10.28693441753209,1,0,1,0,1,6.0,31.0,18.5
external_lung,source_disjoint,3,1,CBX7,IRF1,3305,2115,0,-0.2336175875417313,-9.929727243008474,-9.929727243008474,1,0,1,0,0,6.0,8.0,7.0
external_lung,source_disjoint,3,1,CBX7,IRF3,3305,835,0,-0.1751319517357192,-4.963809943431727,-4.963809943431727,1,0,1,0,0,6.0,9.0,7.5
external_lung,source_disjoint,3,1,CBX7,MSX1,3305,1653,0,-0.23146403227246246,-9.649883887920918,-9.649883887920918,1,0,1,0,0,6.0,1.0,3.5
external_lung,source_disjoint,3,1,CBX7,NKX2-1,3305,394,0,-0.2549095299671645,-11.101165568049357,-11.101165568049357,1,0,1,0,0,6.0,11.0,8.5
external_lung,source_disjoint,3,1,CBX7,VDR,3305,198,0,-0.20046271750220312,-7.503572701933742,-7.503572701933742,1,0,1,0,0,6.0,17.0,11.5
external_lung,source_disjoint,3,1,CDX1,CYP7A1,3352,6942,0,-1.4142135623730951,-0.0,-0.0,1,0,0,1,0,7.0,17.0,12.0
external_lung,source_disjoint,3,1,CDX1,GATA5,3352,2736,0,-1.4142135623730951,-0.0,-0.0,2,0,1,1,0,7.0,5.0,6.0
external_lung,source_disjoint,3,1,CDX1,HDAC1,3352,3718,0,-1.0152508408380037,-20.21574563165125,-20.21574563165125,2,0,1,1,0,7.0,9.0,8.0
external_lung,source_disjoint,3,1,CDX1,NCOR1,3352,1876,0,-1.0131866018146198,-20.434779054190034,-20.434779054190034,2,0,1,1,0,7.0,8.0,7.5
external_lung,source_disjoint,3,1,CDX1,NR1D1,3352,3144,0,-1.0200310927624505,-20.3573712648101,-20.3573712648101,2,0,1,1,0,7.0,8.0,7.5
external_lung,source_disjoint,3,1,CDX1,PPARG,3352,4870,1,-1.4142135623730951,-0.0,-0.0,3,1,1,1,1,7.0,14.0,10.5
external_lung,source_disjoint,3,1,CDX1,PTGS2,3352,7549,1,-1.0146414563740107,-20.09416299217105,-20.09416299217105,2,0,1,1,1,7.0,23.0,15.0
